"AthenaeusUrn","HomericTextContent","HomerUrn","AlignmentUrn"
"urn:cts:greekLit:tlg0008.tlg001.berti:5.20@ο[2]-5.20@Ἀχιλῆα[1]","πλησάμενος δ᾽ οἴνοιο δέπας δείδεκτ᾽ Ἀχιλῆα","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.224","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9.224"
"urn:cts:greekLit:tlg0008.tlg001.berti:6.29@πρῶτος[1]-6.29@ἐζηλωκώς[1]","ἦν δέ τις ἐν Τρώεσσι Ποδῆς υἱὸς Ἠετίωνος","urn:cts:greekLit:tlg0012.tlg001.ogl01:17.575","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17.575"
"urn:cts:greekLit:tlg0008.tlg001.berti:6.29@πρῶτος[1]-6.29@ἐζηλωκώς[1]","ἀφνειός τ᾽ ἀγαθός τε: μάλιστα δέ μιν τίεν Ἕκτωρ","urn:cts:greekLit:tlg0012.tlg001.ogl01:17.576","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17.576"
"urn:cts:greekLit:tlg0008.tlg001.berti:6.29@πρῶτος[1]-6.29@ἐζηλωκώς[1]","δήμου, ἐπεί οἱ ἑταῖρος ἔην φίλος εἰλαπιναστής","urn:cts:greekLit:tlg0012.tlg001.ogl01:17.577","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17.577"
"urn:cts:greekLit:tlg0008.tlg001.berti:6.29@πρῶτος[1]-6.29@ἐζηλωκώς[1]","Μενελάου","urn:cts:greekLit:tlg0012.tlg001.ogl01:17.578","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17.578@Μενέλαος[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:6.29@πρῶτος[1]-6.29@ἐζηλωκώς[1]","τιτρωσκόμενον","urn:cts:greekLit:tlg0012.tlg001.ogl01:17.578","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17.578@τιτρωσκόμενον[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:6.29@πρῶτος[1]-6.29@ἐζηλωκώς[1]","κατὰ τὴν γαστέρα","urn:cts:greekLit:tlg0012.tlg001.ogl01:17.578","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17.578@τόν[1]-17.578@ζωστῆρα[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:6.75@Ἀνάξαρχόν[1]-6.75@θεοῖσιν[1]","ἰχὼρ οἷόσπερ τε ῥέει μακάρεσσι θεοῖσιν","urn:cts:greekLit:tlg0012.tlg001.ogl01:5.340","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5.340"
"urn:cts:greekLit:tlg0008.tlg001.berti:7.20@τὸν[4]-7.20@ἰχθύν[3]","ἐπὶ προβλῆτι καθήμενος ἱερὸν ἰχθύν","urn:cts:greekLit:tlg0012.tlg001.ogl01:16.407","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16.407@ἔπι[1]-16.407@ἰχθὺν[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:7.52@διὸ[2]-7.52@δίνας[1]","τείροντ᾽ ἐγχέλυές τε καὶ ἰχθύες οἱ κατὰ δίνας","urn:cts:greekLit:tlg0012.tlg001.ogl01:21.353","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21.353@τείροντ᾽[1]-21.353@δίνας[1]"
