"AthenaeusUrn","HomericTextContent","HomerUrn","AlignmentUrn"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@Ὁμήρου[1]-10.87@Ἀφροδίτη[1]","ἣ δ᾽ ἐν γούνασι πῖπτε Διώνης δῖ᾽ Ἀφροδίτη","urn:cts:greekLit:tlg0012.tlg001.ogl01:5.370","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5.370"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@ἀπὸ[4]-10.87@γενέσθαι[1]","Ἰλίου ἐξαπολοίατ᾽ ἀκήδεστοι καὶ ἄφαντοι","urn:cts:greekLit:tlg0012.tlg001.ogl01:6.60","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:6.60"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@ἀπὸ[4]-10.87@γενέσθαι[1]","Ἱππόλοχος δέ μ᾽ ἔτικτε καὶ ἐκ τοῦ φημι γενέσθαι","urn:cts:greekLit:tlg0012.tlg001.ogl01:6.206","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:6.206"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@καὶ[10]-10.87@νῆας[1]","Αἴας δ᾽ ἐκ Σαλαμῖνος ἄγεν δύο καὶ δέκα νῆας","urn:cts:greekLit:tlg0012.tlg001.ogl01:2.557","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2.557"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@προβάλλειν[2]-10.87@ἐπιθεῖναι[1]","πάντ᾽ ἐθέλω δόμεναι καὶ ἔτ᾽ οἰκόθεν ἄλλ᾽ ἐπιθεῖναι","urn:cts:greekLit:tlg0012.tlg001.ogl01:7.364","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:7.364"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@ἀπὸ[7]-10.87@εἴσω[1]","ὡς δ᾽ ὅτ᾽ ἀπ᾽ Οὐλύμπου νέφος ἔρχεται οὐρανὸν εἴσω","urn:cts:greekLit:tlg0012.tlg001.ogl01:16.364","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16.364"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@καὶ[10]-10.87@Φυλεύς[1]","Φυλείδης, ὃν τίκτε Διὶ φίλος ἱππότα Φυλεύς","urn:cts:greekLit:tlg0012.tlg001.ogl01:2.628","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2.628"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@καὶ[10]-10.87@Μαχάων[1]","ἰητῆρ᾽ ἀγαθώ, Ποδαλείριος ἠδὲ Μαχάων","urn:cts:greekLit:tlg0012.tlg001.ogl01:2.732","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2.732"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@Ἴων[1]-10.87@θυμός[1]","ἐν φρεσὶ θυμός","urn:cts:greekLit:tlg0012.tlg001.ogl01:8.202","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:8.202@ἐν[1]-8.202@θυμός[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@ἄλλοι[2]-10.87@γέροντος[1]","ἀργυρόπεζα Θέτις, θυγάτηρ ἁλίοιο γέροντος","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.538","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.538"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@ἄλλοι[2]-10.87@μῆλα[1]","μή τι σὺ ταῦτα ἕκαστα διείρεο μηδὲ μετάλλα","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.550","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.550"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.4@ὅπως[1]-11.4@Πλούταρχος[1]","Νέστωρ δ᾽ ὁ γέρων ἀμογητὶ ἄειρ","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.637","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.637@Νέστωρ[1]-11.637@ἄειρεν[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.16@Ἀχιλλεὺς[1]-11.16@Διί[1]","δέπας","urn:cts:greekLit:tlg0012.tlg001.ogl01:16.225","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16.225@δέπας"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.16@Ἀχιλλεὺς[1]-11.16@Διί[1]","οὐδέ τις ἄλλος","urn:cts:greekLit:tlg0012.tlg001.ogl01:16.225","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16.225@οὐδέ-16.225@ἄλλος"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.16@Ἀχιλλεὺς[1]-11.16@Διί[1]","οὔτ᾽ ἀνδρῶν πίνεσκεν ἀπ᾽ αὐτοῦ","urn:cts:greekLit:tlg0012.tlg001.ogl01:16.226","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16.226@οὔτ᾽-16.226@αὐτοῦ"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.16@Ἀχιλλεὺς[1]-11.16@Διί[1]","οὔτε τεῳ σπένδεσκε θεῶν ὅτε μὴ Διί","urn:cts:greekLit:tlg0012.tlg001.ogl01:16.227","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16.227@οὔτέ-16.227@Διὶ"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.16@καὶ[1]-11.16@ποτήριον[2]","δέπας","urn:cts:greekLit:tlg0012.tlg001.ogl01:24.234","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24.234@δέπας[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.16@καὶ[1]-11.16@ποτήριον[2]","περικαλλές","urn:cts:greekLit:tlg0012.tlg001.ogl01:24.234","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24.234@περικαλλές[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.34@ἄχραντον[2]-11.34@ὑποδοχάς[1]","ἄπυρον κατέθηκε λέβητα","urn:cts:greekLit:tlg0012.tlg001.ogl01:23.267","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23.267@ἄπυρον[1]-23.267@λέβητα[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.34@ἄχραντον[2]-11.34@ὑποδοχάς[1]","πέμπτῳ δ᾽ ἀμφίθετον φιάλην ἀπύρωτον ἔθηκεν","urn:cts:greekLit:tlg0012.tlg001.ogl01:23.270","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23.270"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.49@ἔθος[1]-11.49@εἶπεν[1]","δίψους","urn:cts:greekLit:tlg0012.tlg001.ogl01:21.541","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21.541@δίψῃ"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.49@ἔθος[1]-11.49@εἶπεν[1]","τραχύσματα","urn:cts:greekLit:tlg0012.tlg001.ogl01:21.541","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21.541@καρχαλέοι"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.49@ἔθος[1]-11.49@εἶπεν[1]","καρχαλέους","urn:cts:greekLit:tlg0012.tlg001.ogl01:21.541","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21.541@καρχαλέοι"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.53@εἰκάσειε[1]-11.53@πιεῖν[1]","ὄφεως","urn:cts:greekLit:tlg0012.tlg001.ogl01:22.93","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:22.93@δράκων"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.57@Ἀριστοφάνης[1]-11.57@αἷμα[1]","πάντῃ δ᾽ ἀμφὶ νέκυν κοτυλήρυτον ἔρρεεν αἷμα","urn:cts:greekLit:tlg0012.tlg001.ogl01:23.34","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23.34"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.60@αἱ[2]-11.60@ὁρώμενος[1]","φοξὸς ἔην κεφαλήν","urn:cts:greekLit:tlg0012.tlg001.ogl01:2.219","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2.219@φοξὸς[1]-2.219@κεφαλήν[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.65@ΚΥΠΕΛΛΟΝ[1]-11.66@μόνον[2]","τοὺς μὲν ἄρα χρυσέοισι κυπέλλοις υἷες Ἀχαιῶν","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.670","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9.670"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.65@ΚΥΠΕΛΛΟΝ[1]-11.66@μόνον[2]","δειδέχατ᾽ ἄλλοθεν ἄλλος ἀνασταδόν","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.671","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9.671@δειδέχατ[1]-9.671@ἀνασταδόν[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ΝΕΣΤΟΡΙΣ[1]-11.76@ἄειρεν[1]","πὰρ δὲ δέπας περικαλλές, ὃ οἴκοθεν ἦγ᾽ ὁ γεραιός","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.632","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.632"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ΝΕΣΤΟΡΙΣ[1]-11.76@ἄειρεν[1]","χρυσείοις ἥλοισι πεπαρμένον: οὔατα δ᾽ αὐτοῦ","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.633","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.633"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ΝΕΣΤΟΡΙΣ[1]-11.76@ἄειρεν[1]","τέσσαρ᾽ ἔσαν, δοιαὶ δὲ πελειάδες ἀμφὶς ἕκαστον","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.634","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.634"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ΝΕΣΤΟΡΙΣ[1]-11.76@ἄειρεν[1]","χρύσειαι νεμέθοντο δύο δ᾽ ὑπὸ πυθμένες ἦσαν","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.635","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.635"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ΝΕΣΤΟΡΙΣ[1]-11.76@ἄειρεν[1]","πλεῖον ἐόν: Νέστωρ δ᾽ ὁ γέρων ἀμογητὶ ἄειρεν","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.637","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.637"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ταῦτα[1]-11.76@ῥοπάλων[1]","ὣς φάτο","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.245","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.245@ὣς[1]-1.245@φάτο[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ταῦτα[1]-11.76@ῥοπάλων[1]","ποτὶ δὲ σκῆπτρον βάλε γαίῃ","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.245","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.245@ποτὶ[1]-1.245@γαίῃ[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ταῦτα[1]-11.76@ῥοπάλων[1]","χρυσείοις ἥλοισι πεπαρμένον","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.246","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.246@χρυσείοις[1]-1.246@πεπαρμένον[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ἐμφαίνεται[1]-11.76@ἀργύρεον[1]","ἀμφὶ δ᾽ ἄρ᾽ ὤμοισιν βάλετο ξίφος: ἐν δέ οἱ ἧλοι","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.29","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.29"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ἐμφαίνεται[1]-11.76@ἀργύρεον[1]","χρύσειοι πάμφαινον: ἀτὰρ περὶ κουλεὸν ἦεν","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.30","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.30"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.76@ἐμφαίνεται[1]-11.76@ἀργύρεον[1]","ἀργύρεον","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.31","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.31@ἀργύρεον[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.79@ὑποθέμενος[1]-11.79@ἁμαρτάνοντες[1]","δύο δὲ πελειάδες ἀμφὶς ἕκαστον","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.634","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.634@δοιαὶ[1]-11.634@ἕκαστον[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.79@ὑποθέμενος[1]-11.79@ἁμαρτάνοντες[1]","χρύσειαι νεμέθοντο","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.635","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.635@χρύσειαι[1]-11.635@νεμέθοντο[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.79@τὰς[4]-11.79@καλέουσιν[1]","ἐν δὲ τὰ τείρεα πάντα τά τ᾽ οὐρανὸς ἐστεφάνωται","urn:cts:greekLit:tlg0012.tlg001.ogl01:18.485","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:18.485"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.79@τὰς[4]-11.79@καλέουσιν[1]","Πληιάδας θ᾽ Ὑάδας τε τό τε σθένος Ὠρίωνος","urn:cts:greekLit:tlg0012.tlg001.ogl01:18.486","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:18.486"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.79@τὰς[4]-11.79@καλέουσιν[1]","ἄρκτον θ᾽ ἣν καὶ ἅμαξαν ἐπίκλησιν καλέουσιν","urn:cts:greekLit:tlg0012.tlg001.ogl01:18.487","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:18.487"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.81@ὅταν[1]-11.81@πελειάδα[1]","δοιαὶ δὲ πελειάδες ἀμφὶς ἕκαστον","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.634","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.634@δοιαὶ[1]-11.634@ἕκαστον[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.81@ὅταν[1]-11.81@πελειάδα[1]","χρύσειαι νεμέθοντο, δύω δ᾽ ὑπὸ πυθμένες ἦσαν","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.635","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.635"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.83@ἄμφω[1]-11.83@Ἑκαμήδη[1]","τοῖσι δὲ τεῦχε κυκεῶ ἐυπλόκαμος Ἑκαμήδη","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.624","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.624"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.83@ἄμφω[1]-11.83@γεραιός[1]","ἣ σφῶιν πρῶτον μὲν ἐπιπροίηλε τράπεζαν","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.628","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.628"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.83@ἄμφω[1]-11.83@γεραιός[1]","καλὴν κυανόπεζαν ἐύξοον αὐτὰρ ἐπ᾽ αὐτῆς","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.629","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.629"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.83@ἄμφω[1]-11.83@γεραιός[1]","χάλκειον κάνεον: ἐπὶ δὲ κρόμυον ποτῷ ὄψον","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.630","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.630"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.83@ἄμφω[1]-11.83@γεραιός[1]","ἠδὲ μέλι χλωρόν παρὰ δ᾽ ἀλφίτου ἱεροῦ ἀκτήν","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.631","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.631"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.83@ἄμφω[1]-11.83@γεραιός[1]","πὰρ δὲ δέπας περικαλλές ὃ οἴκοθεν ἦγ᾽ ὁ γεραιός","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.632","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.632"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.83@ἄμφω[1]-11.83@κυκεῶ[2]","ἐν τῷ ῥά σφι κύκησε γυνὴ εἰκυῖα θεῇσιν","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.638","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.638"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.83@ἄμφω[1]-11.83@κυκεῶ[2]","οἴνῳ Πραμνείῳ, ἐπὶ δ᾽ αἴγειον κνῆ τυρὸν","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.639","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.639"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.83@ἄμφω[1]-11.83@κυκεῶ[2]","κνήστι χαλκείῃ, ἐπὶ δ᾽ ἄλφιτα λευκὰ πάλυνεν","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.640","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.640"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.83@ἄμφω[1]-11.83@κυκεῶ[2]","πινέμεναι δ᾽ ἐκέλευεν, ἐπεί ῥ᾽ ὥπλισσε κυκεῶ","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.641","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.641"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.84@ἄμφω[1]-11.84@ἄειρεν[1]","ἄλλος μὲν μογέων ἀποκινήσασκε τραπέζης","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.636","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.636"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.84@ἄμφω[1]-11.84@ἄειρεν[1]","πλεῖον ἐόν Νέστωρ δ᾽ ὁ γέρων ἀμογητὶ ἄειρεν","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.637","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11.637"
"urn:cts:greekLit:tlg0008.tlg001.berti:11.84@[1]-11.84@μέλαιναν[1]","πλεῖον ἐόν, Νέστωρ δ᾽ ὁ γέρων ἀμογητὶ ἄειρεν","urn:cts:greekLit:tlg0012.tlg001.ogl01:3.103","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3.103"
